,community
799,4
800,15
801,4
802,16
803,16
804,16
805,16
806,16
807,16
808,16
809,16
810,16
811,4
812,4
813,21
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,4
827,4
828,4
829,9
830,9
831,9
832,9
833,9
834,5
835,9
836,17
837,15
838,17
839,4
840,17
841,17
842,4
843,4
844,4
845,25
846,11
847,11
848,5
849,5
850,5
851,5
852,19
853,5
854,5
855,5
856,5
857,5
858,5
859,5
860,0
861,0
862,24
863,24
864,24
865,24
866,24
867,24
868,24
869,0
870,0
871,6
872,14
873,7
874,7
875,7
876,7
877,7
878,7
879,13
880,4
881,4
882,4
883,4
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,4
893,5
894,5
895,19
896,19
897,19
898,19
899,19
900,19
901,19
902,19
903,19
904,19
905,19
906,14
907,14
908,14
909,14
910,14
911,14
912,14
913,14
914,14
915,14
916,14
917,21
918,23
919,9
920,16
921,16
922,16
923,16
924,9
925,15
926,15
927,15
928,15
929,3
930,9
931,3
932,3
933,24
934,3
935,22
936,22
937,22
938,22
939,22
940,22
941,22
942,22
943,5
944,5
945,5
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,15
954,2
955,2
956,21
957,21
958,21
959,21
960,21
961,6
962,6
963,6
964,21
965,6
966,6
967,6
968,6
969,6
970,6
971,6
972,6
973,13
974,13
975,13
976,13
977,23
978,23
979,23
980,23
981,23
982,23
983,23
984,3
985,3
986,3
987,3
988,3
989,6
990,6
991,6
992,6
993,6
994,6
995,6
996,6
997,17
998,17
999,17
1000,17
1001,17
1002,8
1003,8
1004,8
1005,8
1006,8
1007,8
1008,8
1009,7
1010,7
1011,7
1012,7
1013,7
1014,7
1015,7
1016,9
1017,9
1018,9
1019,9
1020,9
1021,9
1022,9
1023,0
1024,0
1025,20
1026,20
1027,20
1028,20
1029,20
1030,20
1031,20
1032,20
1033,0
1034,0
1035,0
1036,24
1037,24
1038,24
1039,24
1040,24
1041,24
1042,24
1043,24
1044,24
1045,21
1046,21
1047,21
1048,21
1049,21
1050,15
1051,15
1052,15
1053,15
1054,15
1055,13
1056,13
1057,13
1058,17
1059,17
1060,9
1061,3
1062,3
1063,3
1064,3
1065,3
1066,11
1067,11
1068,11
1069,11
1070,11
1071,11
1072,23
1073,23
1074,23
1075,23
1076,22
1077,11
1078,22
1079,22
1080,22
1081,22
1082,22
1083,22
1084,22
1085,3
1086,3
1087,3
1088,3
1089,3
1090,3
1091,3
1092,21
1093,21
1094,7
1095,24
1096,24
1097,24
1098,17
1099,17
1100,3
1101,21
1102,21
1103,3
1104,3
1105,3
1106,3
1107,3
1108,3
1109,3
1110,3
1111,11
1112,11
1113,21
1114,21
1115,4
1116,21
1117,15
1118,15
1119,15
1120,15
1121,15
1122,15
1123,4
1124,5
1125,3
1126,3
1127,2
1128,2
1129,2
1130,2
1131,2
1132,5
1133,11
1134,5
1135,5
1136,5
1137,5
1138,5
1139,24
1140,24
1141,24
1142,24
1143,24
1144,24
1145,24
1146,24
1147,24
1148,24
1149,13
1150,13
1151,12
1152,12
1153,12
1154,12
1155,2
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,2
1163,15
1164,15
1165,15
1166,14
1167,14
1168,24
1169,24
1170,24
1171,24
1172,24
1173,24
1174,13
1175,13
1176,13
1177,13
1178,13
1179,13
1180,13
1181,13
1182,1
1183,0
1184,9
1185,17
1186,17
1187,0
1188,3
1189,3
1190,17
1191,3
1192,3
1193,3
1194,3
